食 品 群,食 品 番 号,索 引 番 号,可  食  部   100  g  当  た  り,,,,,可  食  部   100  g  当  た  り,,備  考
01,01023,0023,こむぎ ［小麦粉］ 強力粉 全粒粉,(0),11.2,330,26,(0),0,(100 g： 182 mL、100 mL：55 g)
01,01146,0024,こむぎ ［小麦粉］ プレミックス粉 お好み焼き用,1,2.8,210,64,Tr,3.7,"加熱によりベーキングパウダーから発生する二酸化炭素等： 0.6 g 
(100 g： 182 mL、100 mL：55 g)"
01,01024,0025,こむぎ ［小麦粉］ プレミックス粉 ホットケーキ用,31,1.8,230,100,0,1.0,"加熱によりベーキングパウダーから発生する二酸化炭素等： 0.6 g
(100 g： 182 mL、100 mL：55 g)"
01,01147,0026,こむぎ ［小麦粉］ プレミックス粉 から揚げ用,0,2.6,280,110,0,9.7,"加熱によりベーキングパウダーから発生する二酸化炭素等： 0.1 g 
β-カロテン： 着色料として添加 
(100 g： 182 mL、100 mL：55 g)"
01,01025,0027,こむぎ ［小麦粉］ プレミックス粉 天ぷら用,3,2.5,160,140,0,0.5,"β-カロテン及びビタミンB2無添加のもの
加熱によりベーキングパウダーから発生する二酸化炭素等： 0.2 g 
(100 g： 182 mL、100 mL：55 g)"
01,01171,0028,こむぎ ［小麦粉］ プレミックス粉 天ぷら用 バッター,1,1.9,67,84,(0),0.2,"天ぷら粉39、水61
加熱によりベーキングパウダーから発生する二酸化炭素等： 0.1 g
食物繊維：AOAC2011.25法"
01,01172,0029,こむぎ ［小麦粉］ プレミックス粉 天ぷら用 バッター 揚げ,2,3.3,93,100,(0),0.2,"別名： 揚げ玉、天かす
植物油（なたね油）
調理による脂質の増減：第1章表13参照
加熱によりベーキングパウダーから発生する二酸化炭素等： 0.2 g
食物繊維：AOAC2011.25法"
01,01026,0030,こむぎ ［パン類］ 角形食パン 食パン,0,4.2,86,22,0,1.2,食物繊維：AOAC2011.25法
01,01174,0031,こむぎ ［パン類］ 角形食パン 焼き,-,4.6,93,26,0,1.3,食物繊維：AOAC2011.25法
01,01175,0032,こむぎ ［パン類］ 角形食パン 耳を除いたもの,-,3.8,78,20,0,1.1,"※ 耳の割合： 45 %、耳以外の割合 : 55 %
別名：サンドイッチ用食パン
食物繊維：AOAC2011.25法"
01,01176,0033,こむぎ ［パン類］ 角形食パン 耳,-,(4.7),(92),(23),(Tr),(1.3),"※ 耳の割合： 45 %、耳以外の割合 : 55 %
食物繊維：AOAC2011.25法"
01,01206,0034,こむぎ ［パン類］ 食パン リーンタイプ,(Tr),(2.0),(67),(12), )0,(1.3),
01,01207,0035,こむぎ ［パン類］ 食パン リッチタイプ,(32),(1.7),()88,()25, )0,(1.0),
01,01205,0036,こむぎ ［パン類］ 山形食パン 食パン,(Tr),(1.8),(76),(18), )0,(1.3),別名：イギリスパン
01,01028,0037,こむぎ ［パン類］ コッペパン,(Tr),3.9,91,22,0,1.0 ,食物繊維：AOAC2011.25法
01,01213,0037-1,こむぎ ［パン類］ バンズ,-,4.2,97,29,-,1.2,食物繊維：AOAC2011.25法
01,01030,0038,こむぎ ［パン類］ 乾パン,(Tr),3.1,160,30,(0),1.2,
01,01031,0039,こむぎ ［パン類］ フランスパン,(0),2.7,110,16,(0),1.6,
01,01032,0040,こむぎ ［パン類］ ライ麦パン,(0),5.6,190,16,(0),1.2,主原料配合： ライ麦粉 50 %
01,01208,0041,こむぎ ［パン類］ 全粒粉パン,Tr,4.5,140,14,0,1.0,
01,01033,0042,こむぎ ［パン類］ ぶどうパン,(Tr),2.2,210,32,(Tr),1.0,
01,01034,0043,こむぎ ［パン類］ ロールパン,(Tr),2.0,110,44,(0),1.2,
01,01209,0044,こむぎ ［パン類］ クロワッサン レギュラータイプ,(20),(1.9),(110),(27),0,(1.4),
01,01035,0045,こむぎ ［パン類］ クロワッサン リッチタイプ,(35),1.8,90,21,(0),1.2,
01,01210,0046,こむぎ ［パン類］ くるみパン,(12),(2.4),(150),(35),0,(0.8),
01,01036,0047,こむぎ ［パン類］ イングリッシュマフィン,(Tr),1.2,84,53,(0),1.2,
01,01037,0048,こむぎ ［パン類］ ナン,(0),2.0,97,11,(0),1.3,
01,01148,0049,こむぎ ［パン類］ ベーグル,-,2.5,97,24,-,1.2,
01,01038,0050,こむぎ ［うどん・そうめん類］ うどん 生,(0),3.6,90,18,(0),2.5,"きしめん、ひもかわを含む
食物繊維：AOAC2011.25法"
01,01039,0051,こむぎ ［うどん・そうめん類］ うどん ゆで,(0),1.3,9,6,(0),0.3,"きしめん、ひもかわを含む
食物繊維：AOAC2011.25法"
01,01186,0052,こむぎ ［うどん・そうめん類］ うどん 半生うどん,(0),4.1,(98),(22),(0),(3.0),食物繊維：AOAC2011.25法
01,01041,0053,こむぎ ［うどん・そうめん類］ 干しうどん 乾,(0),2.4,130,17,(0),4.3,
01,01042,0054,こむぎ ［うどん・そうめん類］ 干しうどん ゆで,(0),0.7,14,7,(0),0.5,
01,01043,0055,こむぎ ［うどん・そうめん類］ そうめん・ひやむぎ 乾,(0),2.5,120,17,(0),3.8,
01,01044,0056,こむぎ ［うどん・そうめん類］ そうめん・ひやむぎ ゆで,(0),0.9,5,6,(0),0.2,
01,01045,0057,こむぎ ［うどん・そうめん類］ 手延そうめん・手延ひやむぎ 乾,(0),1.8,110,20,(0),5.8,
01,01046,0058,こむぎ ［うどん・そうめん類］ 手延そうめん・手延ひやむぎ ゆで,(0),1.0,5,6,(0),0.3,
01,01047,0059,こむぎ ［中華めん類］ 中華めん 生,(0),5.4,350,21,(0),1.0,食物繊維：AOAC2011.25法
01,01048,0060,こむぎ ［中華めん類］ 中華めん ゆで,(0),2.8,60,20,(0),0.2,食物繊維：AOAC2011.25法
01,01187,0061,こむぎ ［中華めん類］ 半生中華めん ,(0),6.2,(430),(21),(0),(1.2),食物繊維：AOAC2011.25法
01,01049,0062,こむぎ ［中華めん類］ 蒸し中華めん 蒸し中華めん,Tr,3.1,80,10,(0),0.3,食物繊維：AOAC2011.25法
01,01188,0063,こむぎ ［中華めん類］ 蒸し中華めん  ソテー,1,3.6,87,10,(0),0.3,食物繊維：AOAC2011.25法
01,01050,0064,こむぎ ［中華めん類］ 干し中華めん 乾,(0),6.0,300,21,(0),1.0,食物繊維：AOAC2011.25法
01,01051,0065,こむぎ ［中華めん類］ 干し中華めん ゆで,(0),2.6,42,13,(0),0.2,食物繊維：AOAC2011.25法
01,01052,0066,こむぎ ［中華めん類］ 沖縄そば 生,(0),2.1,340,11,(0),2.1,別名：沖縄めん
01,01053,0067,こむぎ ［中華めん類］ 沖縄そば ゆで,(0),1.5,80,9,(0),0.4,別名：沖縄めん
01,01054,0068,こむぎ ［中華めん類］ 干し沖縄そば 乾,(0),2.1,130,23,(0),4.3,別名：沖縄めん
01,01055,0069,こむぎ ［中華めん類］ 干し沖縄そば ゆで,(0),1.5,10,11,(0),0.5,別名：沖縄めん
01,01056,0070,こむぎ ［即席めん類］ 即席中華めん 油揚げ味付け,7,2.5,260,430,0,6.4,"別名： インスタントラーメン
添付調味料等を含む"
01,01057,0071,こむぎ ［即席めん類］ 即席中華めん 油揚げ 乾 （添付調味料等を含むもの）,3,2.4,150,230,Tr,5.6,"別名： インスタントラーメン
調理前のもの、添付調味料等を含む"
01,01198,0072,こむぎ ［即席めん類］ 即席中華めん 油揚げ 調理後全体 （添付調味料等を含むもの）,(1),(0.5),(33),(28),0,(1.1),"添付調味料等を含む
01057即席中華めん、油揚げ、乾より推計"
01,01189,0073,こむぎ ［即席めん類］ 即席中華めん 油揚げ ゆで （添付調味料等を含まないもの）,2,2.6,34,95,0,0.4,"添付調味料等を含まない
食物繊維：AOAC2011.25法"
01,01144,0074,こむぎ ［即席めん類］ 即席中華めん 油揚げ 乾 （添付調味料等を含まないもの）,4,5.5,150,220,0,1.5,"調理前のもの、添付調味料等を除く
食物繊維：AOAC2011.25法"
01,01058,0075,こむぎ ［即席めん類］ 即席中華めん 非油揚げ 乾 （添付調味料等を含むもの）,2,2.3,260,110,0,6.9,"別名： インスタントラーメン
調理前のもの、添付調味料等を含む"
01,01199,0076,こむぎ ［即席めん類］ 即席中華めん 非油揚げ 調理後全体 （添付調味料等を含むもの）,(1),(0.6),(68),(6),0,(1.1),"添付調味料等を含む
01058即席中華めん、非油揚げ、乾より推計"
01,01190,0077,こむぎ ［即席めん類］ 即席中華めん 非油揚げ ゆで （添付調味料等を含まないもの）,1,2.7,64,94,0,0.6,"添付調味料等を含まない
食物繊維：AOAC2011.25法"
01,01145,0078,こむぎ ［即席めん類］ 即席中華めん 非油揚げ 乾 （添付調味料等を含まないもの）,1,6.5,310,230,0,3.0,"調理前のもの、添付調味料等を除く
食物繊維：AOAC2011.25法"
01,01193,0079,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 塩味 乾 （添付調味料等を含むもの）,17,5.8,190,190,2,5.8,"調理前のもの、添付調味料等を含む
食物繊維：AOAC2011.25法"
01,01201,0080,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 塩味 調理後全体 （添付調味料等を含むもの）,(4),(1.3),(43),(43),(1),(1.3),"添付調味料等を含む
01193中華スタイル即席カップめん、油揚げ、塩味、乾より推計
食物繊維：AOAC2011.25法"
01,01194,0081,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 塩味 調理後のめん （スープを残したもの）,1,2.2,37,76,0,1.1,"添付調味料等を含む
食物繊維：AOAC2011.25法"
01,01191,0082,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ しょうゆ味 乾 （添付調味料等を含むもの）,10,6.1,180,200,2,6.3,"調理前のもの、添付調味料等を含む
食物繊維：AOAC2011.25法"
01,01200,0083,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ しょうゆ味 調理後全体 （添付調味料等を含むもの）,(2),(1.4),(43),(46),(1),(1.5),"添付調味料等を含む
01191中華スタイル即席カップめん、油揚げ、しょうゆ味、乾より推計
食物繊維：AOAC2011.25法"
01,01192,0084,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ しょうゆ味 調理後のめん （スープを残したもの）,1,1.9,33,74,0,1.1,"添付調味料等を含む
食物繊維：AOAC2011.25法"
01,01060,0085,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 焼きそば 乾 （添付調味料等を含むもの）,2,5.7,180,180,1,3.8,"別名： カップ焼きそば
調理前のもの、添付調味料等を含む
食物繊維：AOAC2011.25法"
01,01202,0086,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 焼きそば 調理後全体 （添付調味料等を含むもの）,(3),(3.3),(100),(94),(2),(2.3),"添付調味料等を含む
01060中華スタイル即席カップめん、油揚げ、焼きそば、乾より推計
食物繊維：AOAC2011.25法"
01,01061,0087,こむぎ ［即席めん類］ 中華スタイル即席カップめん 非油揚げ 乾 （添付調味料等を含むもの）,6,6.4,250,48,1,7.1,"別名： カップラーメン
調理前のもの、添付調味料等を含む
食物繊維：AOAC2011.25法"
01,01203,0088,こむぎ ［即席めん類］ 中華スタイル即席カップめん 非油揚げ 調理後全体 （添付調味料等を含むもの）,(2),(1.5),(77),(44),(2),(1.4),"添付調味料等を含む
01061中華スタイル即席カップめん、非油揚げ、乾より推計
食物繊維：AOAC2011.25法"
01,01195,0089,こむぎ ［即席めん類］ 中華スタイル即席カップめん 非油揚げ 調理後のめん （スープを残したもの）,1,2.5,53,76,0,1.0,"添付調味料等を含む
食物繊維：AOAC2011.25法"
01,01062,0090,こむぎ ［即席めん類］ 和風スタイル即席カップめん 油揚げ 乾 （添付調味料等を含むもの）,3,6.0,150,170,1,6.7,"別名： カップうどん
調理前のもの、添付調味料等を含む
食物繊維：AOAC2011.25法"
01,01204,0091,こむぎ ［即席めん類］ 和風スタイル即席カップめん 油揚げ 調理後全体 （添付調味料等を含むもの）,(1),(1.4),(34),(41),(2),(1.4),"添付調味料等を含む
01062和風スタイル即席カップめん、油揚げ、乾より推計
食物繊維：AOAC2011.25法"
01,01196,0092,こむぎ ［即席めん類］ 和風スタイル即席カップめん 油揚げ 調理後のめん （スープを残したもの）,2,2.4,26,78,1,1.1,"添付調味料等を含む
食物繊維：AOAC2011.25法"
01,01063,0093,こむぎ ［マカロニ・スパゲッティ類］ マカロニ・スパゲッティ 乾,(0),5.4,200,18,(0),0,食物繊維：AOAC2011.25法
01,01064,0094,こむぎ ［マカロニ・スパゲッティ類］ マカロニ・スパゲッティ ゆで,(0),3.0,14,8,(0),1.2,"1.5 %食塩水でゆでた場合
食物繊維：AOAC2011.25法"
01,01173,0095,こむぎ ［マカロニ・スパゲッティ類］ マカロニ・スパゲッティ ソテー,(Tr),(2.9),(13),(8),0,(1.1),"原材料配合割合： マカロニ・スパゲッティゆで95、なたね油5
食物繊維：AOAC2011.25法"
01,01149,0096,こむぎ ［マカロニ・スパゲッティ類］ 生パスタ 生,(0),1.5,76,12,(0),1.2,"デュラム小麦100 %以外のものも含む
ビタミンB2無添加のもの"
01,01065,0097,こむぎ ［ふ類］ 生ふ,(0),0.5,30,13,(0),0,
01,01066,0098,こむぎ ［ふ類］ 焼きふ 釜焼きふ,(0),3.7,120,33,(0),0,平釜焼きふ（小町ふ、切りふ、おつゆふ等）及び型釜焼きふ（花ふ等）
01,01067,0099,こむぎ ［ふ類］ 焼きふ 板ふ,(0),3.8,220,31,(0),0.5,
01,01068,0100,こむぎ ［ふ類］ 焼きふ 車ふ,(0),2.6,130,25,(0),0.3,
01,01177,0101,こむぎ ［ふ類］ 油ふ,1,-,71,19,-,0.1,
01,01070,0102,こむぎ ［その他］ 小麦はいが,(0),14.3,1100,42,(0),0,試料： 焙焼品
01,01071,0103,こむぎ ［その他］ 小麦たんぱく 粉末状,(0),2.4,90,75,0,0.2,
01,01072,0104,こむぎ ［その他］ 小麦たんぱく 粒状,(0),0.4,3,14,(0),0.1,試料： 冷凍品
01,01073,0105,こむぎ ［その他］ 小麦たんぱく ペースト状,(0),0.5,39,30,(0),0.6,試料： 冷凍品
01,01178,0106,こむぎ ［その他］ かやきせんべい,-,-,150,19,-,2.5,別名： おつゆせんべい
01,01074,0107,こむぎ ［その他］ ぎょうざの皮 生,0,2.2,64,16,0,0,
01,01075,0108,こむぎ ［その他］ しゅうまいの皮 生,(0),2.2,72,16,0,0,
01,01179,0109,こむぎ ［その他］ 春巻きの皮 生,Tr,4.5,77,13,-,1.1,食物繊維：AOAC2011.25法
01,01180,0110,こむぎ ［その他］ 春巻きの皮 揚げ,1,4.2,66,11,-,0.9,"植物油（なたね油）
調理による脂質の増減：第1章表13参照
食物繊維：AOAC2011.25法"
01,01076,0111,こむぎ ［その他］ ピザ生地,(0),2.3,91,13,(0),1.3,別名： ピザクラスト
01,01069,0112,こむぎ ［その他］ ちくわぶ,(0),1.5,3,8,(0),0,
01,01077,0113,こむぎ ［その他］ パン粉 生,(0),3.0,110,25,(0),0.9,(100 g：621 mL、100 mL：16.1 g)
01,01078,0114,こむぎ ［その他］ パン粉 半生,(0),3.5,130,28,(0),1.0,
01,01079,0115,こむぎ ［その他］ パン粉 乾燥,(0),6.5,160,25,Tr,1.4,"(100 g：498 mL、100 mL：16 g)
食物繊維：AOAC2011.25法"
01,01150,0116,こむぎ ［その他］ 冷めん 生,(0),1.1,59,11,(0),1.3,
01,01080,0117,こめ ［水稲穀粒］ 玄米,(0),3.0,230,9,(0),0,"うるち米
(100 g：120 mL、100 mL：83 g)"
01,01081,0118,こめ ［水稲穀粒］ 半つき米,(0),1.4,150,7,(0),0,"うるち米
歩留り： 95～96 %
(100 g：120 mL、100 mL：83 g)"
01,01082,0119,こめ ［水稲穀粒］ 七分つき米,(0),0.9,120,6,(0),0,"うるち米
歩留り： 92～94 %
(100 g：120 mL、100 mL：83 g)"
01,01083,0120,こめ ［水稲穀粒］ 精白米 うるち米,(0),0.5,89,5,(0),0,"うるち米
歩留り： 90～91 %
(100 g：120 mL、100 mL：83 g)"
01,01151,0121,こめ ［水稲穀粒］ 精白米 もち米,(0),(0.5),97,5,(0),0,"歩留り： 90～91 %
(100 g：120 mL、100 mL：83 g)"
01,01152,0122,こめ ［水稲穀粒］ 精白米 インディカ米,(0),0.5,68,5,(0),0,"うるち米 歩留り： 90～91 %
(100 g：120 mL、100 mL：83 g)"
01,01084,0123,こめ ［水稲穀粒］ はいが精米,(0),1.3,150,7,(0),0,"うるち米
歩留り： 91～93 %
(100 g：120 mL、100 mL：83 g)"
01,01153,0124,こめ ［水稲穀粒］ 発芽玄米,(0),3.1,160,13,(0),0,"うるち米
試料： ビタミンB1強化品含む
(100 g：120 mL、100 mL：83 g)"
01,01181,0125,こめ ［水稲穀粒］ 赤米,-,6.5,290,12,-,0,"ポリフェノール：0.4ｇ
食物繊維：AOAC2011.25法"
01,01182,0126,こめ ［水稲穀粒］ 黒米,-,5.6,270,15,-,0,"ポリフェノール：0.5ｇ
食物繊維：AOAC2011.25法"
01,01085,0127,こめ ［水稲めし］ 玄米,(0),1.4,95,7,(0),0,"うるち米
玄米47 g相当量を含む"
01,01086,0128,こめ ［水稲めし］ 半つき米,(0),0.8,43,4,(0),0,"うるち米
半つき米47 g相当量を含む"
01,01087,0129,こめ ［水稲めし］ 七分つき米,(0),0.5,35,4,(0),0,"うるち米
七分つき米47 g相当量を含む"
01,01168,0130,こめ ［水稲めし］ 精白米 インディカ米,(0),0.4,31,2,(0),0,精白米51 g相当量を含む
01,01088,0131,こめ ［水稲めし］ 精白米 うるち米,(0),1.5,29,3,(0),0,"精白米47 g相当量を含む
食物繊維：AOAC2011.25法"
01,01154,0132,こめ ［水稲めし］ 精白米 もち米,(0),(0.4),28,2,(0),0,精白米55 g相当量を含む
01,01089,0133,こめ ［水稲めし］ はいが精米,(0),0.8,51,5,(0),0,"うるち米
はいが精白米47 g相当量を含む"
01,01155,0134,こめ ［水稲めし］ 発芽玄米,(0),1.8,68,6,(0),0,"うるち米
発芽玄米47 g相当量を含む
試料： ビタミンB1強化品含む"
01,01183,0135,こめ ［水稲めし］ 赤米,-,3.4,120,5,-,0,"ポリフェノール：（0.2）ｇ
食物繊維：AOAC2011.25法"
01,01184,0136,こめ ［水稲めし］ 黒米,-,3.3,130,7,-,0,"ポリフェノール：（0.2）ｇ
食物繊維：AOAC2011.25法"
01,01185,0137,こめ ［水稲軟めし］ 精白米,0,(1.1),(20),(3),0,0,"別名： なんはん、なんばん、やわらかめし
うるち米
食物繊維：AOAC2011.25法"
01,01090,0138,こめ ［水稲全かゆ］ 玄米,(0),(0.6),(41),(3),(0),0,"うるち米
5倍かゆ
玄米20 g相当量を含む"
01,01091,0139,こめ ［水稲全かゆ］ 半つき米,(0),(0.3),(18),(2),(0),0,"うるち米
5倍かゆ
半つき米20 g相当量を含む"
01,01092,0140,こめ ［水稲全かゆ］ 七分つき米,(0),(0.2),(15),(2),(0),0,"うるち米
5倍かゆ
七分つき米20 g相当量を含む"
01,01093,0141,こめ ［水稲全かゆ］ 精白米,(0),(0.1),(12),(1),(0),0,"うるち米
5倍かゆ
精白米20 g相当量を含む"
01,01094,0142,こめ ［水稲五分かゆ］ 玄米,(0),(0.3),(20),(1),(0),0,"うるち米
10倍かゆ
玄米10 g相当量を含む"
01,01095,0143,こめ ［水稲五分かゆ］ 半つき米,(0),(0.1),(9),(1),(0),0,"うるち米
10倍かゆ
半つき米10 g相当量を含む"
01,01096,0144,こめ ［水稲五分かゆ］ 七分つき米,(0),(0.1),(8),(1),(0),0,"うるち米
10倍かゆ
七分つき米10 g相当量を含む"
01,01097,0145,こめ ［水稲五分かゆ］ 精白米,(0),(0.1),(6),(1),(0),0,"うるち米
10倍かゆ
精白米10 g相当量を含む"
01,01098,0146,こめ ［水稲おもゆ］ 玄米,(0),(0.2),(12),(1),(0),0,"うるち米
弱火で加熱、ガーゼでこしたもの
玄米6 g相当量を含む"
01,01099,0147,こめ ［水稲おもゆ］ 半つき米,(0),(0.1),(5),(1),(0),0,"うるち米
弱火で加熱、ガーゼでこしたもの
半つき米6 g相当量を含む"
01,01100,0148,こめ ［水稲おもゆ］ 七分つき米,(0),(Tr),(4),(1),(0),0,"うるち米
弱火で加熱、ガーゼでこしたもの
七分つき米6 g相当量を含む"
01,01101,0149,こめ ［水稲おもゆ］ 精白米,(0),(Tr),(4),(Tr),(0),0,"うるち米
弱火で加熱、ガーゼでこしたもの
精白米6 g相当量を含む"
01,01102,0150,こめ ［陸稲穀粒］ 玄米,(0),3.0,230,9,(0),0,うるち、もちを含む
01,01103,0151,こめ ［陸稲穀粒］ 半つき米,(0),1.4,150,7,(0),0,"うるち、もちを含む
歩留り： 95～96 %"
01,01104,0152,こめ ［陸稲穀粒］ 七分つき米,(0),0.9,120,6,(0),0,"うるち、もちを含む
歩留り： 93～94 %"
01,01105,0153,こめ ［陸稲穀粒］ 精白米,(0),0.5,89,5,(0),0,"うるち、もちを含む
歩留り： 90～92 %"
01,01106,0154,こめ ［陸稲めし］ 玄米,(0),1.4,95,7,(0),0,"うるち、もちを含む
玄米47 g相当量を含む"
01,01107,0155,こめ ［陸稲めし］ 半つき米,(0),0.8,43,4,(0),0,"うるち、もちを含む
半つき米47 g相当量を含む"
01,01108,0156,こめ ［陸稲めし］ 七分つき米,(0),0.5,35,4,(0),0,"うるち、もちを含む
七分つき米47 g相当量を含む"
01,01109,0157,こめ ［陸稲めし］ 精白米,(0),0.3,29,3,(0),0,"うるち、もちを含む
精白米47 g相当量を含む"
01,01110,0158,こめ ［うるち米製品］ アルファ化米 一般用,(0),1.2,37,7,(0),0,
01,01156,0159,こめ ［うるち米製品］ アルファ化米 学校給食用強化品,(0),1.2,37,7,(0),0,
01,01214,0159-1,こめ ［うるち米製品］ 水稲全かゆ レトルト 玄米,-,0.9,30,3,0,0,"食塩無添加品
食物繊維：AOAC2011.25法"
01,01215,0159-2,こめ ［うるち米製品］ 水稲全かゆ レトルト 精白米,-,0.5,6,2,0,0,"食塩無添加品
食物繊維：AOAC2011.25法"
01,01111,0160,こめ ［うるち米製品］ おにぎり,(0),0.4,31,3,0,0.5,"塩むすび（のり、具材なし）
食塩0.5 gを含む"
01,01112,0161,こめ ［うるち米製品］ 焼きおにぎり,0,0.4,56,5,0,1.0,こいくちしょうゆ6.5 gを含む
01,01113,0162,こめ ［うるち米製品］ きりたんぽ,0,0.4,36,4,0,0,
01,01114,0163,こめ ［うるち米製品］ 上新粉,(0),0.6,89,5,(0),0,(100 g：154 mL、100 mL：65 g)
01,01157,0164,こめ ［うるち米製品］ 玄米粉,(0),3.5,230,12,(0),0,焙煎あり
01,01158,0165,こめ ［うるち米製品］ 米粉,(0),0.6,45,6,(0),0,(100 g：169 mL、100 mL：59 g)
01,01211,0166,こめ ［うるち米製品］ 米粉パン 食パン,(Tr),(0.7),(57),(22),0,(1.1),
01,01212,0167,こめ ［うるち米製品］ 米粉パン ロールパン,(18),(0.6),(66),(26),0,(0.9),
01,01159,0168,こめ ［うるち米製品］ 米粉パン 小麦グルテン不使用のもの,-,0.9,92,4,-,0.9,試料： 小麦アレルギー対応食品（米粉100 %）
01,01160,0169,こめ ［うるち米製品］ 米粉めん,(0),0.9,43,5,(0),0.1,試料： 小麦アレルギー対応食品（米粉100 %）
01,01115,0170,こめ ［うるち米製品］ ビーフン,(0),0.9,33,14,(0),0,
01,01169,0171,こめ ［うるち米製品］ ライスペーパー,0,0.8,22,21,0,1.7,別名： 生春巻きの皮
01,01116,0172,こめ ［うるち米製品］ 米こうじ,(0),1.4,61,5,(0),0,
01,01117,0173,こめ ［もち米製品］ もち,(0),0.5,32,3,(0),0,
01,01118,0174,こめ ［もち米製品］ 赤飯,0,1.6,71,6,0,0,"別名： おこわ、こわめし
原材料配合割合： もち米100、ささげ10"
01,01119,0175,こめ ［もち米製品］ あくまき,(0),0.2,300,6,(0),0,
01,01120,0176,こめ ［もち米製品］ 白玉粉,(0),0.5,3,5,(0),0,別名：寒晒し粉（かんざらし）
01,01121,0177,こめ ［もち米製品］ 道明寺粉,(0),0.7,45,6,(0),0,(100 g：125 mL、100 mL：80 g)
01,01161,0178,こめ ［その他］ 米ぬか,(0),20.5,1500,35,(0),0,
01,01122,0179,そば そば粉 全層粉,(0),4.3,410,17,(0),0,"表層粉の一部を除いたもの
別名： 挽きぐるみ"
01,01123,0180,そば そば粉 内層粉,(0),1.8,190,10,(0),0,別名： さらしな粉、ごぜん粉
01,01124,0181,そば そば粉 中層粉,(0),4.4,470,19,(0),0,
01,01125,0182,そば そば粉 表層粉,(0),7.1,750,32,(0),0,
01,01126,0183,そば そば米,(0),3.7,390,12,0,0,別名： そばごめ、むきそば
